,x,y,size,color,animation_frame
0,0.0,5.0,1,1,40
1,3.96999351046865e-09,5.0000080946913155,1,2,1
2,3.1759929272504067e-08,5.000032378727454,1,2,5
3,1.0718965548151982e-07,5.000072851994986,2,1,26
4,2.540788322209609e-07,5.000129514304863,2,2,20
5,4.962468374071644e-07,5.000202365392417,1,2,31
6,8.575126727352345e-07,5.000291404917367,2,2,13
7,1.3616948696262675e-06,5.000396632463812,1,2,36
8,2.032611395176271e-06,5.000518047540247,1,1,38
9,2.8940795581071036e-06,5.000655649579546,1,2,10
10,3.96991591471979e-06,5.000809437938978,1,2,19
11,5.283936174850527e-06,5.000979411900209,1,2,16
12,6.8599551078297444e-06,5.001165570669303,2,1,37
13,8.72178644844454e-06,5.001367913376724,2,2,11
14,1.0893242802904832e-05,5.001586439077345,1,2,23
15,1.3398135554813555e-05,5.001821146750446,2,1,20
16,1.6260274771141265e-05,5.00207203529973,1,2,18
17,1.9503469108205487e-05,5.002339103553312,2,1,21
18,2.315152571765511e-05,5.002622350263742,2,1,14
19,2.722825015246015e-05,5.002921774107995,2,2,16
20,3.1757446272907356e-05,5.003237373687489,1,2,37
21,3.676291615260183e-05,5.003569147528088,2,2,6
22,4.2268459984475086e-05,5.003917094080104,2,2,4
23,4.8297875986799843e-05,5.004281211718314,2,2,4
24,5.4874960309211874e-05,5.004661498741964,1,2,15
25,6.202350693873952e-05,5.005057953374766,2,2,15
26,6.976730760584059e-05,5.005470573764929,2,1,23
27,7.81301516904478e-05,5.005899357985142,2,2,33
28,8.713582612802216e-05,5.006344304032611,2,2,10
29,9.680811531561572e-05,5.006805409829041,2,2,12
30,0.00010717080101794298,5.007282673220666,2,2,30
31,0.0001182476622734618,5.0077760919782435,2,1,38
32,0.00013006247530046458,5.008285663797094,2,2,36
33,0.00014263901340317886,5.008811386297062,2,2,7
34,0.00015600104687787882,5.009353257022582,1,2,5
35,0.00017017234291900798,5.009911273442653,1,2,16
36,0.00018517666552531165,5.010485432950868,2,2,35
37,0.00020103777540598272,5.011075732865414,2,2,38
38,0.0002177794298868179,5.011682170429103,1,2,29
39,0.00023542538281638652,5.0123047428093646,1,2,7
40,0.00025399938447221197,5.012943447098273,2,2,32
41,0.00027352518146696607,5.013598280312558,1,1,34
42,0.00029402651665467604,5.014269239393615,1,1,14
43,0.00031552712903694597,5.014956321207525,1,1,26
44,0.00033805075366919005,5.015659522545073,1,1,5
45,0.0003616211215668836,5.016378840121746,2,1,13
46,0.0003862619596118248,5.017114270577766,1,1,3
47,0.00041199699045841307,5.017865810478099,2,1,33
48,0.0004388499324399435,5.0186334563124815,1,1,35
49,0.000466844499474915,5.019417204495417,2,1,22
50,0.0004960044009733551,5.020217051366204,1,2,12
51,0.0005263533417431615,5.02103299318897,2,2,27
52,0.0005579150218964586,5.021865026152653,2,1,40
53,0.0005907131367559737,5.022713146371055,1,2,8
54,0.0006247713767614264,5.023577349882835,1,1,12
55,0.0006601134273759395,5.02445763265155,1,2,7
56,0.0006967629689924662,5.025353990565652,1,2,24
57,0.0007347436768402331,5.026266419438524,1,1,25
58,0.0007740792208912068,5.027194915008492,2,1,40
59,0.0008147932657665759,5.028139472938853,1,1,30
60,0.0008569094706432515,5.029100088817881,1,2,26
61,0.000900451489160389,5.030076758158867,1,2,24
62,0.0009454429693259331,5.0310694764001225,1,1,35
